Iteration,Discriminator Loss,Generator Loss
2520,1.295208,0.737050
2530,1.321273,0.794104
2540,1.242660,0.699638
2550,1.361248,0.961681
2560,1.293638,0.535366
2570,1.287800,0.612734
2580,1.333653,0.736899
2590,1.345337,0.684997
2600,1.246054,0.655273
2610,1.282934,0.637683
2620,1.283943,0.639729
2630,1.317905,0.711772
2640,1.278974,0.747652
2650,1.346556,0.757125
2660,1.330380,0.645435
2670,1.316621,0.628859
2680,1.275176,0.657432
2690,1.381031,0.884383
2700,1.289770,0.631968
2710,1.323741,0.737545
2720,1.282758,0.590450
2730,1.303503,0.675179
2740,1.341811,0.668862
2750,1.317416,0.632274
2760,1.340742,0.679611
2770,1.336195,0.607132
2780,1.310831,0.836315
2790,1.360441,0.601746
2800,1.332653,0.638295
2810,1.314691,0.589317
2820,1.352505,0.653591
2830,1.314329,0.636521
2840,1.294465,0.583340
2850,1.362293,0.549599
2860,1.286801,0.601327
2870,1.313881,0.622589
2880,1.305912,0.544100
2890,1.333445,0.675674
2900,1.294194,0.589128
2910,1.255023,0.595301
2920,1.292803,0.561261
2930,1.349939,0.626222
2940,1.343380,0.613361
2950,1.312294,0.588060
2960,1.305825,0.591679
2970,1.272688,0.657752
2980,1.314650,0.609572
2990,1.335013,0.602586
3000,1.262191,0.574223
3010,1.268678,0.656739
3020,1.339432,0.605978
3030,1.353839,0.625147
3040,1.337195,0.554806
3050,1.371414,0.606616
3060,1.326374,0.487340
3070,1.318451,0.590303
3080,1.296851,0.620894
3090,1.297216,0.558607
3100,1.308343,0.628143
3110,1.323704,0.614182
3120,1.305745,0.613387
3130,1.326563,0.571201
3140,1.297139,0.647959
3150,1.278610,0.536020
3160,1.287929,0.603606
3170,1.319701,0.554357
3180,1.301573,0.581288
3190,1.334752,0.645524
3200,1.283008,0.556297
3210,1.267783,0.539891
3220,1.347267,0.637218
3230,1.284991,0.588062
3240,1.264830,0.601338
3250,1.329986,0.516850
3260,1.277170,0.521755
3270,1.334767,0.577741
3280,1.300663,0.550760
3290,1.300037,0.543045
3300,1.295975,0.547172
3310,1.311257,0.589616
3320,1.317435,0.606650
3330,1.238748,0.625468
3340,1.337399,0.624365
3350,1.261627,0.533381
3360,1.348757,0.484310
3370,1.308185,0.554531
3380,1.309431,0.578812
3390,1.372573,0.712223
3400,1.304808,0.573325
3410,1.240998,0.517631
3420,1.353746,0.525304
3430,1.314596,0.526480
3440,1.273285,0.637467
3450,1.300299,0.592519
3460,1.316022,0.609305
3470,1.382616,0.523670
3480,1.234530,0.491695
3490,1.311249,0.561605
3500,1.348427,0.715130
3510,1.323380,0.735616
3520,1.295050,0.648756
3530,1.377920,0.769445
3540,1.335080,0.648895
3550,1.291424,0.466714
3560,1.312527,0.608694
3570,1.282689,0.464853
3580,1.303239,0.519320
3590,1.200475,0.537840
3600,1.227752,0.609744
3610,1.293409,0.932763
3620,1.263457,0.596609
3630,1.320286,0.538475
3640,1.261832,0.545062
3650,1.284256,0.584767
3660,1.321591,0.764884
3670,1.315758,0.707814
3680,1.294957,0.634387
3690,1.318079,0.590998
3700,1.334856,0.617541
3710,1.289385,0.572442
3720,1.337413,0.881200
